scan_id,map_name,primary_state,date_on_map,map_scale,grid_size,geotiff_url,metadata_url,westbc,eastbc,northbc,southbc,product_filesize
170691,Hackett,Pennsylvania,1953,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hackett_170691_1953_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hackett_170691_1953_24000_geo.xml,-80.12500000,-80.00000000,40.25000000,40.12500000,13813991
170692,Hadley,Pennsylvania,1960,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hadley_170692_1960_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hadley_170692_1960_24000_geo.xml,-80.25000000,-80.12500000,41.50000000,41.37500000,10307921
170700,Halifax,Pennsylvania,1977,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Halifax_170700_1977_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Halifax_170700_1977_24000_geo.xml,-77.00000000,-76.87500000,40.50000000,40.37500000,15259441
170709,Hallton,Pennsylvania,1969,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hallton_170709_1969_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hallton_170709_1969_24000_geo.xml,-79.00000000,-78.87500000,41.50000000,41.37500000,12562366
170714,Hamburg,Pennsylvania,1956,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hamburg_170714_1956_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hamburg_170714_1956_24000_geo.xml,-76.00000000,-75.87500000,40.62500000,40.50000000,11728667
170724,Hammersley Fork,Pennsylvania,1948,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hammersley%20Fork_170724_1948_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hammersley_Fork_170724_1948_24000_geo.xml,-78.00000000,-77.87500000,41.50000000,41.37500000,13151866
170726,Hammett,Pennsylvania,1960,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hammett_170726_1960_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hammett_170726_1960_24000_geo.xml,-80.00000000,-79.87500000,42.12500000,42.00000000,10664532
223146,Hampton,Pennsylvania,1990,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hampton_223146_1990_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hampton_223146_1990_24000_geo.xml,-77.12500000,-77.00000000,40.00000000,39.87500000,9404413
170733,Hancock,Pennsylvania,1965,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/NY/PA_Hancock_170733_1965_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hancock_170733_1965_24000_geo.xml,-75.37500000,-75.25000000,42.00000000,41.87500000,11917103
170740,Hanover,Pennsylvania,1954,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hanover_170740_1954_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hanover_170740_1954_24000_geo.xml,-77.00000000,-76.87500000,39.87500000,39.75000000,11119910
170745,Harborcreek,Pennsylvania,1960,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harborcreek_170745_1960_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harborcreek_170745_1960_24000_geo.xml,-80.00000000,-79.87500000,42.25000000,42.12500000,13627835
223153,Harford,Pennsylvania,1992,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harford_223153_1992_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harford_223153_1992_24000_geo.xml,-75.75000000,-75.62500000,41.87500000,41.75000000,11533840
